house_age,square_feet,num_bedrooms,num_bathrooms,garage_size,neighborhood_quality,school_rating,distance_to_downtown,has_pool,has_garden,year_built,price_in_thousands
15,1800,3,2,1,7,8,12.5,Yes,No,2008,245.5
8,2200,4,2.5,2,8,9,8.2,Yes,Yes,2015,325.8
22,1600,3,1,1,6,7,15.3,No,No,2001,189.2
5,2800,5,3,2,9,10,5.8,Yes,Yes,2018,456.3
12,2400,4,2,2,8,8,10.1,Yes,No,2011,368.7
18,2000,3,2,1,7,7,13.7,No,Yes,2005,278.9
3,3200,6,3.5,3,10,10,3.2,Yes,Yes,2020,589.4
25,1400,2,1,0,5,6,18.9,No,No,1998,156.8
10,2600,4,2.5,2,8,9,7.5,Yes,Yes,2013,412.6
14,2100,3,2,1,7,8,11.8,No,No,2009,298.4
20,1700,3,1.5,1,6,7,14.6,No,No,2003,195.7
7,3000,5,3,2,9,9,6.3,Yes,Yes,2016,489.2
16,2300,4,2,2,8,8,9.7,Yes,No,2010,345.8
23,1500,2,1,0,6,6,16.8,No,No,2000,178.3
11,2500,4,2.5,2,8,8,8.9,Yes,Yes,2012,389.5
19,1900,3,2,1,7,7,12.9,No,No,2006,268.4
4,3100,5,3,2,9,9,4.5,Yes,Yes,2017,523.7
21,1750,3,1.5,1,6,7,13.5,No,No,2004,205.6
9,2700,4,3,2,8,9,7.1,Yes,Yes,2014,435.9
13,2200,3,2,1,7,8,10.8,Yes,No,2010,312.3
26,1300,2,1,0,5,5,19.7,No,No,1997,145.2
6,2900,5,3,2,9,9,5.2,Yes,Yes,2015,478.6
17,2150,3,2,1,7,8,11.2,No,No,2008,289.7
24,1550,2,1,0,6,6,15.9,No,No,2002,165.8
12,2550,4,2.5,2,8,8,8.3,Yes,Yes,2013,398.4
15,2050,3,2,1,7,7,12.1,No,No,2009,275.6
8,2750,4,3,2,8,9,6.8,Yes,Yes,2014,456.2
22,1650,3,1,1,6,7,14.2,No,No,2003,187.9
5,3300,6,3.5,3,10,10,2.8,Yes,Yes,2019,612.8
18,1950,3,2,1,7,7,13.1,No,No,2007,262.3
11,2650,4,2.5,2,8,8,7.9,Yes,Yes,2012,418.7
20,1800,3,2,1,7,8,11.5,No,No,2005,258.4
14,2250,4,2,1,7,8,10.3,Yes,No,2010,332.6
23,1450,2,1,0,5,6,17.2,No,No,2001,152.7
9,2850,5,3,2,9,9,6.5,Yes,Yes,2013,467.9
16,2100,3,2,1,7,8,11.7,No,No,2009,295.8
25,1600,3,1.5,1,6,7,15.6,No,No,2002,178.4
10,2450,4,2,2,8,8,9.1,Yes,No,2011,356.7
13,2000,3,2,1,7,7,12.4,No,No,2008,268.9
7,3150,5,3,2,9,9,4.8,Yes,Yes,2016,534.6
19,1850,3,2,1,7,7,13.3,No,No,2006,272.5
21,1700,3,1.5,1,6,7,13.8,No,No,2004,198.7
12,2600,4,2.5,2,8,8,8.7,Yes,Yes,2012,405.3
17,2150,3,2,1,7,8,11.4,No,No,2010,287.6
24,1500,2,1,0,6,6,16.3,No,No,2001,162.9
15,2050,3,2,1,7,7,12.7,No,No,2009,279.3
8,2950,5,3,2,9,9,6.2,Yes,Yes,2014,478.4
22,1750,3,1.5,1,6,7,14.8,No,No,2003,192.6
5,3250,6,3.5,3,10,10,3.5,Yes,Yes,2018,605.7
18,1950,3,2,1,7,7,12.9,No,No,2007,265.8
11,2550,4,2.5,2,8,8,8.1,Yes,Yes,2012,412.9
20,1900,3,2,1,7,8,11.8,No,No,2005,264.7
14,2350,4,2,2,8,8,10.5,Yes,No,2010,345.2
23,1550,2,1,0,6,6,17.5,No,No,2001,168.4
9,2750,4,3,2,8,9,7.3,Yes,Yes,2013,462.8
16,2200,3,2,1,7,8,11.9,No,No,2009,308.5
25,1650,3,1.5,1,6,7,15.8,No,No,2002,182.6
10,2550,4,2,2,8,8,9.3,Yes,No,2011,368.9
13,2000,3,2,1,7,7,12.2,No,No,2008,272.1
7,3050,5,3,2,9,9,5.1,Yes,Yes,2015,528.3
19,1850,3,2,1,7,7,13.6,No,No,2006,276.4
21,1750,3,1.5,1,6,7,14.1,No,No,2004,202.8
12,2650,4,2.5,2,8,8,8.9,Yes,Yes,2012,415.6
17,2150,3,2,1,7,8,11.6,No,No,2010,291.7
24,1500,2,1,0,6,6,16.6,No,No,2001,165.3
15,2050,3,2,1,7,7,13.0,No,No,2009,282.6
8,2850,5,3,2,9,9,6.7,Yes,Yes,2014,472.5
22,1800,3,1.5,1,6,7,15.1,No,No,2003,196.3
5,3350,6,3.5,3,10,10,3.2,Yes,Yes,2019,618.9
18,1950,3,2,1,7,7,13.2,No,No,2007,268.7
11,2550,4,2.5,2,8,8,8.5,Yes,Yes,2012,418.2
20,1900,3,2,1,7,8,12.1,No,No,2005,267.8
14,2450,4,2,2,8,8,10.8,Yes,No,2010,352.4
23,1600,3,1,1,6,7,17.8,No,No,2001,172.8
9,2850,5,3,2,9,9,7.6,Yes,Yes,2013,467.1
16,2300,4,2,2,8,8,11.2,No,No,2009,318.6
25,1700,3,1.5,1,6,7,16.2,No,No,2002,186.9
10,2650,4,2.5,2,8,8,9.6,Yes,No,2011,375.2
13,2100,3,2,1,7,7,12.5,No,No,2008,278.4
7,3150,5,3,2,9,9,5.4,Yes,Yes,2016,542.7
19,1950,3,2,1,7,7,13.9,No,No,2006,280.3
21,1800,3,1.5,1,6,7,14.4,No,No,2004,207.5
12,2750,4,2.5,2,8,8,9.2,Yes,Yes,2012,425.8
17,2250,3,2,1,7,8,11.8,No,No,2010,296.4
24,1550,2,1,0,6,6,16.9,No,No,2001,167.7
15,2150,3,2,1,7,7,13.3,No,No,2009,286.9
8,2950,5,3,2,9,9,7.2,Yes,Yes,2014,482.6
22,1850,3,1.5,1,6,7,15.4,No,No,2003,199.7
5,3450,6,3.5,3,10,10,2.9,Yes,Yes,2020,632.5
18,2050,3,2,1,7,7,13.5,No,No,2007,271.6
11,2650,4,2.5,2,8,8,8.8,Yes,Yes,2012,426.3
20,2000,3,2,1,7,8,12.4,No,No,2005,270.9
14,2550,4,2,2,8,8,11.1,Yes,No,2010,368.5
23,1650,3,1,1,6,7,18.1,No,No,2001,177.2
9,2950,5,3,2,9,9,7.9,Yes,Yes,2013,471.4
16,2400,4,2,2,8,8,11.5,No,No,2009,328.7
25,1750,3,1.5,1,6,7,16.6,No,No,2002,191.2
10,2750,4,2.5,2,8,8,9.9,Yes,No,2011,381.5
13,2200,3,2,1,7,7,12.8,No,No,2008,284.7
7,3250,5,3,2,9,9,5.7,Yes,Yes,2016,557.1
19,2050,3,2,1,7,7,14.2,No,No,2006,284.2
21,1850,3,1.5,1,6,7,14.7,No,No,2004,212.2
12,2850,4,2.5,2,8,8,9.5,Yes,Yes,2012,436.1
17,2350,4,2,2,8,8,12.0,No,No,2010,301.1
24,1600,3,1,1,6,7,17.2,No,No,2001,170.1
15,2250,3,2,1,7,7,13.6,No,No,2009,291.2
8,3050,5,3,2,9,9,7.7,Yes,Yes,2014,492.7
22,1900,3,1.5,1,6,7,15.7,No,No,2003,203.1
5,3550,6,3.5,3,10,10,2.6,Yes,Yes,2021,646.1
18,2150,3,2,1,7,7,13.8,No,No,2007,274.5
11,2750,4,2.5,2,8,8,9.1,Yes,Yes,2012,434.4
20,2100,3,2,1,7,8,12.7,No,No,2005,274.0
14,2650,4,2,2,8,8,11.4,Yes,No,2010,384.6
23,1700,3,1,1,6,7,18.4,No,No,2001,181.6
9,3050,5,3,2,9,9,8.2,Yes,Yes,2013,475.7
16,2500,4,2,2,8,8,11.8,No,No,2009,338.8
25,1800,3,1.5,1,6,7,17.0,No,No,2002,195.5
10,2850,4,2.5,2,8,8,10.2,Yes,No,2011,387.8
13,2300,3,2,1,7,7,13.1,No,No,2008,291.0
7,3350,5,3,2,9,9,6.0,Yes,Yes,2016,571.5
19,2150,3,2,1,7,7,14.5,No,No,2006,288.1
21,1950,3,1.5,1,6,7,15.0,No,No,2004,216.9
12,2950,4,2.5,2,8,8,9.8,Yes,Yes,2012,446.4
17,2450,4,2,2,8,8,12.2,No,No,2010,305.8
24,1650,3,1,1,6,7,17.5,No,No,2001,172.5
15,2350,3,2,1,7,7,13.9,No,No,2009,295.5
8,3150,5,3,2,9,9,8.2,Yes,Yes,2014,502.8
22,1950,3,1.5,1,6,7,16.0,No,No,2003,206.5
5,3650,6,3.5,3,10,10,2.3,Yes,Yes,2022,659.7
18,2250,3,2,1,7,7,14.1,No,No,2007,277.4
11,2850,4,2.5,2,8,8,9.4,Yes,Yes,2012,442.5
20,2200,3,2,1,7,8,13.0,No,No,2005,277.1
14,2750,4,2,2,8,8,11.7,Yes,No,2010,400.7
23,1750,3,1,1,6,7,18.7,No,No,2001,186.0
9,3150,5,3,2,9,9,8.5,Yes,Yes,2013,480.0
16,2600,4,2,2,8,8,12.1,No,No,2009,348.9
25,1850,3,1.5,1,6,7,17.4,No,No,2002,199.8
10,2950,4,2.5,2,8,8,10.5,Yes,No,2011,394.1
13,2400,3,2,1,7,7,13.4,No,No,2008,297.3
7,3450,5,3,2,9,9,6.3,Yes,Yes,2016,585.9
19,2250,3,2,1,7,7,14.8,No,No,2006,292.0
21,2050,3,1.5,1,6,7,15.3,No,No,2004,221.6
12,3050,4,2.5,2,8,8,10.1,Yes,Yes,2012,456.7
17,2550,4,2,2,8,8,12.4,No,No,2010,310.5
24,1700,3,1,1,6,7,17.8,No,No,2001,174.9
15,2450,3,2,1,7,7,14.2,No,No,2009,299.8
8,3250,5,3,2,9,9,8.7,Yes,Yes,2014,512.9
22,2050,3,1.5,1,6,7,16.3,No,No,2003,209.9
5,3750,6,3.5,3,10,10,2.0,Yes,Yes,2023,673.3
18,2350,3,2,1,7,7,14.4,No,No,2007,280.3
11,2950,4,2.5,2,8,8,9.7,Yes,Yes,2012,450.6
20,2300,3,2,1,7,8,13.3,No,No,2005,280.2
14,2850,4,2,2,8,8,12.0,Yes,No,2010,416.8
23,1800,3,1,1,6,7,19.0,No,No,2001,190.4
9,3250,5,3,2,9,9,8.8,Yes,Yes,2013,484.3
16,2700,4,2,2,8,8,12.4,No,No,2009,359.0
25,1900,3,1.5,1,6,7,17.8,No,No,2002,204.1
10,3050,4,2.5,2,8,8,10.8,Yes,No,2011,400.4
13,2500,3,2,1,7,7,13.7,No,No,2008,303.6
7,3550,5,3,2,9,9,6.6,Yes,Yes,2016,600.3
19,2350,3,2,1,7,7,15.1,No,No,2006,295.9
21,2150,3,1.5,1,6,7,15.6,No,No,2004,226.3
12,3150,4,2.5,2,8,8,10.4,Yes,Yes,2012,467.0
17,2650,4,2,2,8,8,12.6,No,No,2010,315.2
24,1750,3,1,1,6,7,18.1,No,No,2001,177.3
15,2550,3,2,1,7,7,14.5,No,No,2009,304.1
8,3350,5,3,2,9,9,9.2,Yes,Yes,2014,523.0
22,2150,3,1.5,1,6,7,16.6,No,No,2003,213.3
5,3850,6,3.5,3,10,10,1.7,Yes,Yes,2024,686.9
18,2450,3,2,1,7,7,14.7,No,No,2007,283.2
11,3050,4,2.5,2,8,8,10.0,Yes,Yes,2012,458.7
20,2400,3,2,1,7,8,13.6,No,No,2005,283.3
14,2950,4,2,2,8,8,12.3,Yes,No,2010,432.9
23,1850,3,1,1,6,7,19.3,No,No,2001,194.8
9,3350,5,3,2,9,9,9.1,Yes,Yes,2013,488.6
16,2800,4,2,2,8,8,12.7,No,No,2009,369.1
25,1950,3,1.5,1,6,7,18.2,No,No,2002,208.4
10,3150,4,2.5,2,8,8,11.1,Yes,No,2011,406.7
13,2600,3,2,1,7,7,14.0,No,No,2008,309.9
7,3650,5,3,2,9,9,6.9,Yes,Yes,2016,614.7
19,2450,3,2,1,7,7,15.4,No,No,2006,299.8
21,2250,3,1.5,1,6,7,15.9,No,No,2004,231.0
12,3250,4,2.5,2,8,8,10.7,Yes,Yes,2012,477.3
17,2750,4,2,2,8,8,12.8,No,No,2010,319.9
24,1800,3,1,1,6,7,18.4,No,No,2001,179.7
15,2650,3,2,1,7,7,14.8,No,No,2009,308.4
8,3450,5,3,2,9,9,9.7,Yes,Yes,2014,533.1
22,2250,3,1.5,1,6,7,16.9,No,No,2003,216.7
5,3950,6,3.5,3,10,10,1.4,Yes,Yes,2025,700.5
18,2550,3,2,1,7,7,15.0,No,No,2007,286.1
11,3150,4,2.5,2,8,8,10.3,Yes,Yes,2012,466.8
20,2500,3,2,1,7,8,13.9,No,No,2005,286.4
14,3050,4,2,2,8,8,12.6,Yes,No,2010,449.0
23,1900,3,1,1,6,7,19.6,No,No,2001,199.2
9,3450,5,3,2,9,9,9.4,Yes,Yes,2013,492.9
16,2900,4,2,2,8,8,13.0,No,No,2009,379.2
25,2050,3,1.5,1,6,7,18.6,No,No,2002,212.7
10,3250,4,2.5,2,8,8,11.4,Yes,No,2011,413.0
13,2700,3,2,1,7,7,14.3,No,No,2008,316.2
7,3750,5,3,2,9,9,7.2,Yes,Yes,2016,629.1
19,2550,3,2,1,7,7,15.7,No,No,2006,303.7
21,2350,3,1.5,1,6,7,16.2,No,No,2004,235.7
12,3350,4,2.5,2,8,8,11.0,Yes,Yes,2012,487.6
17,2850,4,2,2,8,8,13.0,No,No,2010,324.6
24,1850,3,1,1,6,7,18.7,No,No,2001,182.1
15,2750,3,2,1,7,7,15.1,No,No,2009,312.7
8,3550,5,3,2,9,9,10.2,Yes,Yes,2014,543.2
22,2350,3,1.5,1,6,7,17.2,No,No,2003,220.1