product_description,brand,price_rating,quality_score
"这是一款高品质智能手机，搭载最新处理器，拍照效果出色",华为,8.5,9.2
"超薄笔记本电脑，轻薄便携，性能强劲，适合商务人士",联想,7.8,8.5
"智能手表，健康监测功能齐全，电池续航时间长",小米,6.5,7.8
"4K智能电视，画质清晰，音响效果震撼",索尼,9.2,9.5
"无线蓝牙耳机，降噪效果佳，音质纯净",苹果,8.8,9.0
"High-end smartphone with latest processor and excellent camera",Samsung,8.2,8.8
"Ultra-thin laptop, powerful performance, perfect for business",Dell,7.5,8.2
"Smart watch with comprehensive health tracking and long battery life",Fitbit,6.8,7.5
"4K smart TV with stunning picture quality and immersive sound",LG,8.9,9.2
"Wireless earbuds with great noise cancellation and pure sound",Bose,8.5,8.8
"入门级手机，功能够用，价格实惠",OPPO,4.5,5.2
"基础款笔记本，满足日常办公需求",华硕,5.2,5.8
"简单智能手环，计步和心率监测",华为,3.8,4.5
"普通液晶电视，性价比不错",海信,5.5,6.2
"基础有线耳机，音质一般",小米,3.2,3.8
"Budget smartphone with basic features and affordable price",Nokia,4.2,4.8
"Basic laptop suitable for daily office work",HP,5.0,5.5
"Simple fitness band with step counting and heart rate monitoring",Xiaomi,3.5,4.2
"Standard LCD TV with good value for money",TCL,5.2,5.8
"Basic wired earphones with average sound quality",JBL,3.0,3.5
"中端游戏手机，性能均衡，散热不错",一加,6.8,7.2
"商务笔记本，稳定可靠，续航优秀",ThinkPad,7.2,7.8
"运动智能手表，防水性能好",佳明,7.5,8.0
"QLED电视，色彩表现不错",三星,7.8,8.2
"运动蓝牙耳机，防汗设计",Jabra,6.2,6.8
"Mid-range gaming phone with balanced performance and good cooling",OnePlus,6.5,7.0
"Business laptop with stable performance and excellent battery life",Lenovo,7.0,7.5
"Sports smart watch with good waterproof design",Garmin,7.2,7.8
"QLED TV with decent color performance",Samsung,7.5,8.0
"Sports wireless earbuds with sweat-proof design",Jabra,6.0,6.5
"专业摄影手机，拍照功能强大",vivo,8.0,8.5
"设计师笔记本，屏幕色彩精准",戴尔,8.5,9.0
"户外智能手表，GPS定位精准",颂拓,8.2,8.8
"OLED电视，对比度出色",LG,8.8,9.2
"Hi-Fi耳机，音质发烧级",森海塞尔,9.0,9.5
"Professional photography phone with powerful camera features",Vivo,7.8,8.3
"Designer laptop with accurate screen colors",Dell,8.2,8.8
"Outdoor smart watch with precise GPS positioning",Suunto,8.0,8.5
"OLED TV with excellent contrast ratio",LG,8.5,9.0
"Hi-Fi headphones with audiophile-grade sound quality",Sennheiser,8.8,9.2
"经济型手机，老年人使用简单",红米,4.0,4.5
"学生笔记本，轻薄便携",宏碁,5.8,6.2
"儿童智能手表，定位功能实用",小天才,4.2,4.8
"小尺寸电视，卧室使用合适",长虹,4.8,5.2
"入门级蓝牙耳机，连接稳定",漫步者,4.5,5.0
"Economy phone, simple for elderly users",Redmi,3.8,4.2
"Student laptop, thin and lightweight",Acer,5.5,6.0
"Kids smart watch with practical location tracking",XTC,4.0,4.5
"Small size TV, suitable for bedroom use",Changhong,4.5,5.0
"Entry-level Bluetooth earbuds with stable connection",Edifier,4.2,4.8
"旗舰手机，各方面都很出色",三星,9.5,9.8
"工作站笔记本，性能极致",外星人,9.2,9.5
"豪华智能手表，材质高端",苹果,9.8,9.9
"顶级OLED电视，影院级体验",索尼,9.5,9.8
"旗舰降噪耳机，技术领先",索尼,9.2,9.5
"Flagship phone, excellent in all aspects",Samsung,9.2,9.6
"Workstation laptop with ultimate performance",Alienware,9.0,9.3
"Luxury smart watch with premium materials",Apple,9.5,9.8
"Top-tier OLED TV with cinema-like experience",Sony,9.2,9.6
"Flagship noise-cancelling headphones with leading technology",Sony,9.0,9.3